"key","value"
"status","formal"
"started_at_utc","2026-08-20 21:52:51 UTC"
"completed_at_utc","2026-08-20 22:02:40 UTC"
"runtime_seconds","588.526"
"source_git_sha","3fdbac18ef9b5db682f6d27658421ee0fb972e70"
"plan_sha256","8f1cbb6549c17801a159f1db16e5bcf7b9ddd437b743a15d7f789ea917c986e3"
"runner_sha256","297ee165d414de8d371bb3165783233a035dfd9c42740682eb05a6e05ef049da"
"R_version","R version 4.5.1 (2025-06-13)"
"dkge_version","0.0.0.9000"
"platform","aarch64-apple-darwin20"
"n_replicates","200"
"n_randomizations","199"
"base_seed","8600000"
"lambda_policy","externally_preselected_fixed"
"lambda","0.001"
"transport_provenance","geometry_only"
"contract_pass","TRUE"
"all_statistical_gates_pass","TRUE"
"replicate_artifact_sha256","4147c5d68e96ea9a115882fa55c7640ac6096a8ce8f2928b292fb2169d2751b6"
"summary_artifact_sha256","185863f63ca88880091aaf6616f142482d43edd5fe74d11202f515e104fd95ac"
