"key","value"
"started_at_utc","2026-08-20 13:42:29 UTC"
"completed_at_utc","2026-08-20 13:53:32 UTC"
"plan_sha256","95c3258340128be36e99675512a051f6fd3abd8eccf3baf187657cba15a6e735"
"runner_sha256","60a99d76e813e0a164c8323a0e664fd3e8a2ce5c8c0a49f61de37f9159ef7736"
"git_head","5b185e9fd92e1e68a2984eaf33f9421a38fa51eb"
"R_version","R version 4.5.1 (2025-06-13)"
"dkge_version","0.0.0.9000"
"platform","aarch64-apple-darwin20"
"gaussian_primary_all_pass","FALSE"
"non_gaussian_all_pass","TRUE"
"power_pass","FALSE"
