"arm","error","term","method","batch","replicate","data_seed","resample_seed","n","p_features","rank","B","p","reject_005"
"gaussian_global_null","gaussian","group","rotation",1,1,1700001,1751001,20,24,2,399,0.7875,FALSE
"gaussian_global_null","gaussian","trait","rotation",1,1,1700001,1752001,20,24,2,399,0.605,FALSE
"gaussian_global_null","gaussian","group:trait","rotation",1,1,1700001,1753001,20,24,2,399,0.215,FALSE
"gaussian_global_null","gaussian","group","rotation",1,2,1700002,1751002,20,24,2,399,0.11,FALSE
"gaussian_global_null","gaussian","trait","rotation",1,2,1700002,1752002,20,24,2,399,0.0375,TRUE
"gaussian_global_null","gaussian","group:trait","rotation",1,2,1700002,1753002,20,24,2,399,0.7725,FALSE
"gaussian_global_null","gaussian","group","rotation",1,3,1700003,1751003,20,24,2,399,0.675,FALSE
"gaussian_global_null","gaussian","trait","rotation",1,3,1700003,1752003,20,24,2,399,0.2875,FALSE
"gaussian_global_null","gaussian","group:trait","rotation",1,3,1700003,1753003,20,24,2,399,0.4725,FALSE
"gaussian_global_null","gaussian","group","rotation",1,4,1700004,1751004,20,24,2,399,0.18,FALSE
"gaussian_global_null","gaussian","trait","rotation",1,4,1700004,1752004,20,24,2,399,0.0775,FALSE
"gaussian_global_null","gaussian","group:trait","rotation",1,4,1700004,1753004,20,24,2,399,0.2425,FALSE
"gaussian_global_null","gaussian","group","rotation",1,5,1700005,1751005,20,24,2,399,0.6325,FALSE
"gaussian_global_null","gaussian","trait","rotation",1,5,1700005,1752005,20,24,2,399,0.8725,FALSE
"gaussian_global_null","gaussian","group:trait","rotation",1,5,1700005,1753005,20,24,2,399,0.415,FALSE
"gaussian_global_null","gaussian","group","rotation",1,6,1700006,1751006,20,24,2,399,0.0675,FALSE
"gaussian_global_null","gaussian","trait","rotation",1,6,1700006,1752006,20,24,2,399,0.62,FALSE
"gaussian_global_null","gaussian","group:trait","rotation",1,6,1700006,1753006,20,24,2,399,0.4975,FALSE
"gaussian_global_null","gaussian","group","rotation",1,7,1700007,1751007,20,24,2,399,0.2375,FALSE
"gaussian_global_null","gaussian","trait","rotation",1,7,1700007,1752007,20,24,2,399,0.81,FALSE
"gaussian_global_null","gaussian","group:trait","rotation",1,7,1700007,1753007,20,24,2,399,0.4225,FALSE
"gaussian_global_null","gaussian","group","rotation",1,8,1700008,1751008,20,24,2,399,0.45,FALSE
