"arm","error","term","method","n_replicates","B","rejection_005","mcse","wilson_lower","wilson_upper","mean_p","median_p","ks_D","ks_p","batch_rejection_min","batch_rejection_max","q05","q25","q50","q75","q95","max_quantile_deviation","gate_class","size_gate","wilson_gate","ks_gate","quantile_gate","gate_pass"
"gaussian_global_null","gaussian","group","rotation",1000,399,0.049,0.00689202437604511,0.0372610346473606,0.0641907015066101,0.491485,0.49,0.0275000000000001,0.436004723435492,0.035,0.07,0.0525,0.245,0.49,0.7425,0.9525,0.01,"gaussian_primary",TRUE,TRUE,TRUE,TRUE,TRUE
"gaussian_global_null","gaussian","group:trait","rotation",1000,399,0.058,0.00689202437604511,0.0451332782349982,0.0742495762662325,0.5125325,0.5225,0.031,0.291736099359121,0.05,0.08,0.047375,0.255,0.5225,0.765,0.955,0.0225,"gaussian_primary",TRUE,TRUE,TRUE,TRUE,TRUE
"gaussian_global_null","gaussian","trait","rotation",1000,399,0.055,0.00689202437604511,0.0424974273747684,0.0709083876773756,0.5067425,0.51,0.025,0.559559771259004,0.04,0.085,0.0475,0.256875,0.51,0.7575,0.96,0.01,"gaussian_primary",TRUE,TRUE,TRUE,TRUE,TRUE
"gaussian_partial_null","gaussian","group","rotation",500,399,0.04,0.00974679434480896,0.0260407973897773,0.0609735958348508,0.49636,0.5025,0.0285,0.811423282686944,0.02,0.07,0.0625,0.251875,0.5025,0.75125,0.95,0.0125,"gaussian_primary",TRUE,TRUE,TRUE,TRUE,TRUE
"gaussian_partial_null","gaussian","group:trait","rotation",500,399,0.066,0.00974679434480896,0.0473785263597739,0.0912394011608535,0.524975,0.5375,0.0579999999999999,0.0691903255858173,0.05,0.09,0.042375,0.261875,0.5375,0.790625,0.9625,0.040625,"gaussian_primary",FALSE,TRUE,TRUE,TRUE,FALSE
"gaussian_partial_null","gaussian","trait","rotation",500,399,0.042,0.00974679434480896,0.0276323101084517,0.0633515857543301,0.525715,0.5375,0.052,0.133834303870211,0.02,0.07,0.0625,0.26,0.5375,0.785,0.9625,0.0375000000000001,"gaussian_primary",TRUE,TRUE,TRUE,TRUE,TRUE
"skew_global_null","skew","group","rotation",500,399,0.038,0.00974679434480896,0.0244601180558304,0.0585847725306439,0.534145,0.55375,0.074,0.00837208021759486,0.02,0.06,0.0625,0.319375,0.55375,0.75875,0.960125,0.069375,"non_gaussian_robustness",TRUE,TRUE,TRUE,TRUE,TRUE
"skew_global_null","skew","group:trait","rotation",500,399,0.066,0.00974679434480896,0.0473785263597739,0.0912394011608535,0.511805,0.52375,0.0395,0.41627473832247,0.06,0.08,0.0425,0.24125,0.52375,0.770625,0.955,0.0237499999999999,"non_gaussian_robustness",TRUE,TRUE,TRUE,TRUE,TRUE
"skew_global_null","skew","trait","rotation",500,399,0.064,0.00974679434480896,0.0456960160447894,0.0889524088376841,0.534685,0.56625,0.0745,0.00777297054496821,0.05,0.07,0.037375,0.29125,0.56625,0.7875,0.957625,0.0662499999999999,"non_gaussian_robustness",TRUE,TRUE,TRUE,TRUE,TRUE
"strong_interaction_power","gaussian","group:trait","freedman_lane",300,199,0.58,0.02849561369755,0.523483149984711,0.634493974619362,0.0799166666666667,0.04,NA,NA,0.57,0.59,0.005,0.01,0.04,0.11,0.28025,NA,"power",NA,NA,NA,NA,NA
"strong_interaction_power","gaussian","group:trait","rotation",300,199,0.43,0.0285832118559129,0.375211176733764,0.486558839237672,0.107966666666667,0.065,NA,NA,0.42,0.44,0.005,0.02,0.065,0.15125,0.33,NA,"power",NA,NA,NA,NA,FALSE
"t5_global_null","t5","group","rotation",500,399,0.054,0.00974679434480896,0.0373743501810575,0.0774265615106471,0.506525,0.505,0.0275,0.843933859270772,0.04,0.07,0.045,0.265,0.505,0.76375,0.9425,0.015,"non_gaussian_robustness",TRUE,TRUE,TRUE,TRUE,TRUE
"t5_global_null","t5","group:trait","rotation",500,399,0.06,0.00974679434480896,0.0423483564809462,0.0843610631252198,0.489495,0.48875,0.036,0.536054434396379,0.02,0.12,0.0475,0.265,0.48875,0.735625,0.935,0.015,"non_gaussian_robustness",TRUE,TRUE,TRUE,TRUE,TRUE
"t5_global_null","t5","trait","rotation",500,399,0.052,0.00974679434480896,0.0357302651157053,0.0751011439378455,0.507155,0.51625,0.036,0.536054434396379,0.02,0.08,0.05,0.2575,0.51625,0.77125,0.937625,0.02125,"non_gaussian_robustness",TRUE,TRUE,TRUE,TRUE,TRUE
