"family","setting","estimand","n","replicates","permutations","empirical_size_0.05","size_mcse","size_wilson_lower","size_wilson_upper","batch_size_min","batch_size_max","mean_p","median_p","ks_d","ks_p","q10","q25","q50","q75","q90","max_quantile_deviation","legacy_ks_threshold","legacy_quantile_threshold","legacy_gate_passed","classification"
"adaptive_loso_signflip","n16_v128","kenergy",16,1000,499,0.051,0.00695693898205238,0.0390009427752668,0.0664354863447617,0.035,0.07,0.495708,0.497,0.018,0.902243279692824,0.094,0.2435,0.497,0.7405,0.894,0.00950000000000006,0.05,0.08,TRUE,"calibrated"
"adaptive_loso_signflip","n16_v128","kenergy_prec",16,1000,499,0.052,0.00702111102319284,0.0398730362837774,0.06755573931928,0.03,0.09,0.514096,0.526,0.038,0.111355718956286,0.1018,0.2535,0.526,0.775,0.906,0.026,0.05,0.08,TRUE,"calibrated"
"adaptive_loso_signflip","n16_v128","none",16,1000,499,0.04,0.00619677335393187,0.0295109736854528,0.054009644121258,0.025,0.05,0.4996,0.491,0.017,0.934732247866536,0.108,0.262,0.491,0.744,0.9022,0.012,0.05,0.08,TRUE,"calibrated"
"between_freedman_lane","diagnostic_n40","group",40,500,399,0.066,0.0111035129576184,0.0473785263597739,0.0912394011608535,0.04,0.1,0.47466,0.46375,0.0535,0.114258780569696,0.07975,0.2425,0.46375,0.698125,0.87525,0.0518749999999999,0.05,0.09,TRUE,"calibrated"
"between_freedman_lane","diagnostic_n40","group:trait",40,500,399,0.07,0.0114105214604767,0.0507597429450181,0.0957971898519168,0.04,0.1,0.485155,0.51625,0.0415000000000001,0.355296699120426,0.07475,0.2425,0.51625,0.73,0.8675,0.0325,0.05,0.09,TRUE,"anti_conservative"
"between_freedman_lane","diagnostic_n40","trait",40,500,399,0.05,0.00974679434480896,0.0340937452438494,0.0727681611715476,0.03,0.1,0.492085,0.48125,0.04,0.400473665960805,0.0975,0.2325,0.48125,0.755,0.8925,0.01875,0.05,0.09,TRUE,"calibrated"
"between_freedman_lane","diagnostic_n80","group",80,500,399,0.03,0.00762889244910426,0.0182632131979134,0.0489036668359457,0.01,0.05,0.508875,0.485,0.0345,0.591220896197315,0.12,0.2675,0.485,0.765,0.9075,0.02,0.05,0.09,TRUE,"conservative"
"between_freedman_lane","diagnostic_n80","group:trait",80,500,399,0.052,0.00992935043192655,0.0357302651157053,0.0751011439378455,0.03,0.08,0.486585,0.4825,0.0385,0.448933999036783,0.0925,0.245,0.4825,0.71875,0.91,0.03125,0.05,0.09,TRUE,"calibrated"
"between_freedman_lane","diagnostic_n80","trait",80,500,399,0.048,0.00955991631762538,0.0324652069413532,0.0704271968358901,0.03,0.08,0.50077,0.50875,0.028,0.827956861461566,0.1075,0.274375,0.50875,0.738125,0.87525,0.0247499999999999,0.05,0.09,TRUE,"calibrated"
"between_freedman_lane","primary_n20","group",20,1000,399,0.074,0.00827792244467173,0.059354992584107,0.091905405645586,0.055,0.115,0.4528125,0.4225,0.088,3.75558036621025e-07,0.07,0.19,0.4225,0.7075,0.9025,0.0775,0.05,0.09,FALSE,"anti_conservative"
"between_freedman_lane","primary_n20","group:trait",20,1000,399,0.077,0.00843036179532053,0.0620479070606059,0.0951895306181737,0.055,0.1,0.464265,0.45125,0.059,0.00189440055503033,0.07225,0.2,0.45125,0.71,0.875,0.05,0.05,0.09,FALSE,"anti_conservative"
"between_freedman_lane","primary_n20","trait",20,1000,399,0.076,0.00837997613361757,0.0611494480717024,0.0940956431240484,0.045,0.1,0.4565575,0.42875,0.075,2.6014595308135e-05,0.07,0.2025,0.42875,0.705,0.8775,0.07125,0.05,0.09,FALSE,"anti_conservative"
