"row_type","workload","seed","elapsed_seconds","peak_rss_bytes","total_allocation_bytes","largest_allocation_bytes","object_bytes","design_bytes","P","q","p_by_p_detected","elapsed_iqr","passed","threshold"
"run","trial_chunks",19421,6.265,1001521152,2542876584,48000048,75412008,119480,100000,60,FALSE,NA,NA,NA
"run","trial_chunks",19422,5.636,1035911168,2542876584,48000048,75412008,119480,100000,60,FALSE,NA,NA,NA
"run","trial_chunks",19423,5.471,1027981312,2542876584,48000048,75412008,119480,100000,60,FALSE,NA,NA,NA
"run","group_legacy",19421,3.98,1461321728,1804132280,86400048,330472344,595440,10000,60,FALSE,NA,NA,NA
"run","group_legacy",19422,3.075,1458405376,1804132216,86400048,330472344,595440,10000,60,FALSE,NA,NA,NA
"run","group_legacy",19423,2.783,1464434688,1804140696,86400048,330472456,595440,10000,60,FALSE,NA,NA,NA
"run","group_advanced",19421,2.31,1177993216,1189742016,4800048,324100672,595440,10000,60,FALSE,NA,NA,NA
"run","group_advanced",19422,2.429,1170472960,1189741984,4800048,324100672,595440,10000,60,FALSE,NA,NA,NA
"run","group_advanced",19423,3.025,1163624448,1189750520,4800048,324100784,595440,10000,60,FALSE,NA,NA,NA
"run","fold_refit",19421,5.066,1424982016,1799028640,4800048,306637680,595440,10000,60,FALSE,NA,NA,NA
"run","fold_refit",19422,6.063,1422442496,1799030304,4800048,306637712,595440,10000,60,FALSE,NA,NA,NA
"run","fold_refit",19423,3.951,1442430976,1799045896,4800048,306637808,595440,10000,60,FALSE,NA,NA,NA
"run","poisson_bootstrap",19421,17.651,1182056448,3125350712,960048,309080,595440,2000,60,FALSE,NA,NA,NA
"run","poisson_bootstrap",19422,5.101,1232044032,3117644504,960048,313696,595440,2000,60,FALSE,NA,NA,NA
"run","poisson_bootstrap",19423,4.406,1262206976,3117553360,960048,285960,595440,2000,60,FALSE,NA,NA,NA
"summary","trial_chunks",NA,5.636,1027981312,2542876584,48000048,75412008,119480,100000,60,FALSE,0.397,TRUE,"elapsed<=20s; peak_rss<=1.25e+09 bytes; IQR<=median"
"summary","group_legacy",NA,3.075,1461321728,1804132280,86400048,330472344,595440,10000,60,FALSE,0.5985,TRUE,"elapsed<=20s; peak_rss<=2e+09 bytes; IQR<=median"
"summary","group_advanced",NA,2.429,1170472960,1189742016,4800048,324100672,595440,10000,60,FALSE,0.3575,TRUE,"elapsed<=30s; peak_rss<=2e+09 bytes; IQR<=median"
"summary","fold_refit",NA,5.066,1424982016,1799030304,4800048,306637712,595440,10000,60,FALSE,1.056,TRUE,"elapsed<=30s; peak_rss<=2e+09 bytes; IQR<=median"
"summary","poisson_bootstrap",NA,5.101,1232044032,3117644504,960048,309080,595440,2000,60,FALSE,6.6225,FALSE,"elapsed<=60s; peak_rss<=1.5e+09 bytes; IQR<=median"
