"scenario","seed","signal","noise","missingness","method","subspace_angle_deg","inverse_count_correlation","contrast_error","interval_covered","null_reject","null_p","high_count_influence","empty_cell_fraction"
1,73101,"null","iid","mcar","legacy",NA,0.0634469573316173,NA,0,1,0.034,0.0647802048169695,0.134259259259259
1,73101,"null","iid","mcar","count",NA,0.0449454388551189,NA,0,1,0.034,0.0971555571843582,0.134259259259259
1,73101,"null","iid","mcar","explicit_precision",NA,0.0473671573081936,NA,0,1,0.034,0.0974778793091886,0.134259259259259
1,73101,"null","iid","mcar","random_effects",NA,0.0449454388551189,NA,0,1,0.034,0.0971555571843582,0.134259259259259
1,73101,"null","iid","mcar","iid_analytic",NA,0.0517054211838773,NA,0,1,0.034,0.0647802048169695,0.134259259259259
1,73101,"null","iid","mcar","covariance_analytic",NA,0.051705421183877,NA,0,1,0.034,0.0647802048169695,0.134259259259259
1,73101,"null","iid","mcar","split_half",NA,0.451050961757958,NA,1,1,0.034,0.259681736212586,0.134259259259259
1,73102,"null","iid","mcar","legacy",NA,0.0852441553082591,NA,0,0,0.668,0.0656454574836928,0.144444444444444
1,73102,"null","iid","mcar","count",NA,0.0995062700327909,NA,0,0,0.668,0.100547688819199,0.144444444444444
1,73102,"null","iid","mcar","explicit_precision",NA,0.102425242539971,NA,0,0,0.668,0.100523318160345,0.144444444444444
1,73102,"null","iid","mcar","random_effects",NA,0.0995062700327909,NA,0,0,0.668,0.100547688819199,0.144444444444444
1,73102,"null","iid","mcar","iid_analytic",NA,0.159565999459609,NA,1,0,0.668,0.0656454574836928,0.144444444444444
1,73102,"null","iid","mcar","covariance_analytic",NA,0.159565999459608,NA,1,0,0.668,0.0656454574836928,0.144444444444444
1,73102,"null","iid","mcar","split_half",NA,0.0941737041197767,NA,1,0,0.668,0.260634794222394,0.144444444444444
1,73103,"null","iid","mcar","legacy",NA,0.542786558432,NA,0,0,0.106,0.0659659403777051,0.147222222222222
1,73103,"null","iid","mcar","count",NA,0.563839258196943,NA,0,0,0.106,0.101533175705473,0.147222222222222
1,73103,"null","iid","mcar","explicit_precision",NA,0.555832127278876,NA,0,0,0.106,0.102113482900117,0.147222222222222
1,73103,"null","iid","mcar","random_effects",NA,0.563839258196943,NA,0,0,0.106,0.101533175705473,0.147222222222222
1,73103,"null","iid","mcar","iid_analytic",NA,0.509888493370223,NA,1,0,0.106,0.0659659403777051,0.147222222222222
1,73103,"null","iid","mcar","covariance_analytic",NA,0.509888493370223,NA,1,0,0.106,0.0659659403777051,0.147222222222222
1,73103,"null","iid","mcar","split_half",NA,0.0370322272379128,NA,1,0,0.106,0.25941165200664,0.147222222222222
1,73104,"null","iid","mcar","legacy",NA,0.197953008702307,NA,0,0,0.947,0.0651462086388557,0.139814814814815
1,73104,"null","iid","mcar","count",NA,0.222167536024575,NA,0,0,0.947,0.101260019643723,0.139814814814815
1,73104,"null","iid","mcar","explicit_precision",NA,0.220229401052133,NA,0,0,0.947,0.101692849074565,0.139814814814815
1,73104,"null","iid","mcar","random_effects",NA,0.222167536024575,NA,0,0,0.947,0.101260019643723,0.139814814814815
1,73104,"null","iid","mcar","iid_analytic",NA,0.217086469969269,NA,1,0,0.947,0.0651462086388557,0.139814814814815
1,73104,"null","iid","mcar","covariance_analytic",NA,0.217086469969269,NA,1,0,0.947,0.0651462086388557,0.139814814814815
