"row_type","scenario","signal","noise","missingness","method","n_replicates","median_subspace_angle_deg","median_inverse_count_correlation","contrast_bias","contrast_rmse","interval_coverage","false_positive_rate","mean_high_count_influence","mean_empty_cell_fraction","gate_id","passed","observed","threshold"
"scenario_method",1,"null","iid","mcar","count",20,NA,0.164262774027982,NA,NA,0,0.05,0.0996983698405453,0.140925925925926,NA,NA,NA,NA
"scenario_method",2,"null","heteroscedastic","response","count",20,NA,0.52211840654933,NA,NA,0,0.05,0.103599608014519,0.166527777777778,NA,NA,NA,NA
"scenario_method",3,"ordinal","iid","mcar","count",20,83.3246945512906,0.283471499555574,1.193545718459,1.21161468071985,0,NA,0.100649097794729,0.138888888888889,NA,NA,NA,NA
"scenario_method",4,"ordinal","heteroscedastic","response","count",20,80.7231959055578,0.585824223354842,2.77076973268579,2.80933343281705,0,NA,0.10209086804301,0.159583333333333,NA,NA,NA,NA
"scenario_method",5,"nonlinear","ar","mcar","count",20,75.8872066546584,0.291010920619185,1.2365288094862,1.2520587397246,0,NA,0.100847391198344,0.145833333333333,NA,NA,NA,NA
"scenario_method",6,"interaction","ar","response","count",20,88.5675714412621,0.435551329091878,1.30367521277482,1.31739352516479,0,NA,0.102373290284254,0.157314814814815,NA,NA,NA,NA
"scenario_method",7,"low_rank","unequal_precision","mcar","count",20,79.9955596732474,0.466119048381702,2.92676991896409,2.98796525571664,0,NA,0.116814809789431,0.141898148148148,NA,NA,NA,NA
"scenario_method",8,"ordinal","unequal_precision","response","count",20,86.0976169659214,0.372948154643993,3.83647865152949,3.96055855513116,0,NA,0.124727270990581,0.161296296296296,NA,NA,NA,NA
"scenario_method",9,"nonlinear","heteroscedastic","response","count",20,74.8751991994113,0.5122312888159,2.73110186306553,2.74711653124217,0,NA,0.101976136336836,0.157175925925926,NA,NA,NA,NA
"scenario_method",10,"low_rank","ar","mcar","count",20,83.9600744679049,0.225377525746904,0.895726687302544,0.907883371167321,0,NA,0.0995451712489643,0.139583333333333,NA,NA,NA,NA
"scenario_method",1,"null","iid","mcar","covariance_analytic",20,NA,0.142700109820506,NA,NA,0.9,0.05,0.0652768638632609,0.140925925925926,NA,NA,NA,NA
"scenario_method",2,"null","heteroscedastic","response","covariance_analytic",20,NA,0.134915088980328,NA,NA,0.9,0.05,0.0684688687537952,0.166527777777778,NA,NA,NA,NA
"scenario_method",3,"ordinal","iid","mcar","covariance_analytic",20,31.5512158187157,0.208505757053598,-0.0682585966792615,0.267362099192808,0.55,NA,0.0651773820542203,0.138888888888889,NA,NA,NA,NA
